Timestamp,RED,IR,Ax,Ay,Az,Gx,Gy,Gz,Temperature
2021-01-01 02:19:01,506,404,-0.09,0.54,-0.9,2,3,1,29.82
2021-01-01 02:19:31,510,408,-0.09,0.54,-0.9,2,2,1,31.24
2021-01-01 02:20:01,514,411,-0.09,0.54,-0.9,3,3,1,30.86
2021-01-01 02:20:31,517,414,-0.09,0.54,-0.9,3,3,1,31.09
2021-01-01 02:21:01,517,414,-0.09,0.54,-0.91,3,3,1,31.14
2021-01-01 02:21:31,518,416,-0.09,0.54,-0.9,3,2,1,31.38
2021-01-01 02:22:01,521,418,-0.1,0.54,-0.9,3,2,1,31.56
2021-01-01 02:22:31,522,418,-0.09,0.54,-0.9,2,3,1,31.52
2021-01-01 02:23:01,523,422,-0.1,0.54,-0.91,3,3,1,31.71
2021-01-01 02:23:31,525,422,-0.1,0.54,-0.89,3,3,1,31.66
2021-01-01 02:24:01,526,422,-0.09,0.54,-0.89,3,2,1,31.75
2021-01-01 02:24:31,528,424,-0.1,0.54,-0.89,3,2,1,31.8
2021-01-01 02:25:01,527,422,-0.1,0.54,-0.9,3,2,1,31.85
2021-01-01 02:25:31,527,423,-0.1,0.54,-0.91,3,3,1,31.8
2021-01-01 02:26:01,530,424,-0.1,0.54,-0.91,3,3,2,31.75
2021-01-01 02:26:31,531,424,-0.1,0.54,-0.89,3,2,1,31.8
2021-01-01 02:27:01,494,1476,-0.28,0.54,-0.8,8,9,10,31.89
2021-01-01 02:27:31,573,1687,-0.19,0.5,-0.9,3,3,1,32.55
2021-01-01 02:28:01,579,1702,-0.19,0.5,-0.89,2,2,1,33.07
2021-01-01 02:28:31,584,1719,-0.19,0.5,-0.9,2,2,2,33.45
2021-01-01 02:29:01,588,1730,-0.19,0.5,-0.9,3,3,1,33.78
2021-01-01 02:29:31,590,1735,-0.19,0.5,-0.9,2,2,1,33.96
2021-01-01 02:30:01,593,1748,-0.19,0.5,-0.9,3,3,2,34.15
2021-01-01 02:30:31,764,1918,-0.22,0.66,-0.76,6,3,3,34.15
2021-01-01 02:31:01,1018,3169,-0.0,0.52,-0.93,3,3,1,34.15
2021-01-01 02:31:31,1019,3169,0.0,0.51,-0.93,2,2,1,34.29
2021-01-01 02:32:01,1024,3181,-0.0,0.52,-0.93,3,3,1,34.34
2021-01-01 02:32:31,1024,3183,0.01,0.51,-0.93,2,3,1,34.39
2021-01-01 02:33:01,1024,3183,-0.0,0.52,-0.94,3,3,1,34.48
2021-01-01 02:33:31,1024,3180,0.01,0.52,-0.94,3,3,2,34.53
2021-01-01 02:34:01,1021,3173,0.0,0.52,-0.93,3,3,2,34.58
2021-01-01 02:34:31,1018,3166,0.02,0.51,-0.94,2,3,2,34.53
2021-01-01 02:35:01,1019,3171,0.0,0.52,-0.93,3,3,1,34.48
2021-01-01 02:35:31,1021,3173,0.01,0.51,-0.94,2,2,1,34.58
